pCO2,AOU,excess DIC,T,nDIC+0.768DO,DIC-0.5TA+0.83DO,DO Saturation,label,LOF_label
406.1,39.8536247,3.0,19.9432,2182.992,1055.842,0.766069075,0,0
399.1,40.5686915,-0.5,20.5271,2172.419,1042.869,0.761217646,0,0
385.5,36.8633103,-7.4,19.452,2181.125,1053.575,0.780084022,0,0
423.8,42.2451787,11.7,20.479,2182.791,1058.491,0.754162495,0,0
429.0,50.1175305,14.3,21.6858,2165.533,1037.633,0.716079728,0,0
411.3,36.7743693,5.7,21.0501,2175.63,1046.68,0.775824982,0,0
392.3,41.4262313,-3.9,19.8354,2176.279,1047.829,0.759833409,0,0
432.1,43.5056744,15.8,21.1777,2177.588,1054.588,0.746398049,0,0
425.8,46.5518913,12.8,21.1398,2172.581,1051.781,0.733435462,0,0
471.5,67.6157381,31.0,17.4964,2216.765,1087.765,0.662702109,0,0
462.6,66.6475093,27.7,18.0063,2208.203,1079.853,0.663840139,0,0
480.6,72.8047903,33.7,16.5742,2226.701,1092.401,0.64731128,0,0
469.9,77.5173404,27.5,12.5735,2265.781,1126.331,0.653227859,0,0
463.5,76.0223842,24.8,11.8322,2273.329,1132.529,0.662932718,0,0
442.6,65.1926904,17.7,13.14,2258.551,1121.851,0.694707359,0,0
467.4,71.4523058,27.4,14.2224,2249.991,1110.341,0.665755046,0,0
488.9,76.2654019,35.0,14.3858,2251.943,1110.643,0.646817442,0,0
437.9,63.7649271,16.3,14.5653,2241.088,1107.438,0.692829711,0,0
457.7,64.1687952,23.7,13.9968,2254.863,1115.263,0.694115304,0,0
491.5,77.5196788,34.2,12.1859,2277.707,1130.557,0.655589299,0,0
478.4,80.2337409,31.0,13.5356,2254.758,1114.758,0.637232196,0,0
537.5,109.230521,48.3,11.7346,2270.854,1129.104,0.545810818,0,0
429.7,84.9120976,12.1,11.4405,2258.634,1118.184,0.634027138,0,0
461.4,66.4602346,25.0,13.845,2256.501,1115.051,0.686448507,0,0
510.1,87.4517583,41.8,13.7189,2257.252,1118.852,0.609324689,0,0
446.3,67.5973216,18.9,12.7583,2262.219,1121.619,0.687832967,0,0
312.299,-24.21523,-51.833,25.713,2113.292,968.41,1.04491863,0,0
317.3,-16.42,-49.308,25.118,2112.3972,978.432,1.00861016,0,0
323.48,-14.720463,-44.186,25.567,2115.37,969.44,1.00104772,0,0
336.132,-12.919383,-37.337,28.957,2084.032,936.65,0.99623609,0,0
330.479,-13.310404,-39.883,26.386,2110.3482,963.037,0.9953924199999999,0,0
338.289,-12.027198,-34.829,28.273,2096.3882,937.227,0.99106288,0,0
336.328,-11.314577,-36.208,26.643,2109.539,961.13,0.98634317,0,0
331.625,-10.940433,-39.766,28.216,2088.0992,937.482,0.98596858,0,0
334.593,-10.997182,-37.274,26.155,2113.4464,967.709,0.98444643,0,0
329.894,-9.7697779,-40.951,28.29,2085.182,934.82,0.98040453,0,0
323.756,-9.8131407,-45.176,27.83,2085.4452,939.482,0.98028581,0,0
385.819,-9.719454,-7.698,28.275,2119.2012,981.737,0.98017463,0,0
